"provincia";"partido";"nombre";"nombre_foto"
"SORIA";"PSOE";"Esther Pérez";"02_esther_perez_psoe_soria.jpg"
"SORIA";"PSOE";"Jesús Cedazo";"03_jesus_cedazo_psoe_soria.jpg"
"SORIA";"SORIA YA";"Ángel Ceña";"01_angel_cena_soriaya_soria.jpg"
"SORIA";"SORIA YA";"María Inmaculada Ramos";"02_maria_inmaculada_ramos_soriaya_soria.jpg"
"SORIA";"SORIA YA";"Antonio Palomar Sicilia";"03_antonio_palomar_sicilia_soriaya_soria.jpg"
"SORIA";"SORIA YA";"Jaione Ovejero Muñoz";"04_jaione_ovejero_munoz_soriaya_soria.jpg"
"SORIA";"SORIA YA";"Joel Martínez Moreno";"05_joel_martínez_moreno_soriaya_soria.jpg"
"SORIA";"SORIA YA";"María Concepción Álvarez Sacristán";"06_maria_concepción_alvarez_sacristan_soriaya_soria.jpg"
"SORIA";"SORIA YA";"Fernando del Amo Gallego";"07_fernando_del_amo_gallego_soriaya_soria.jpg"
"SORIA";"VOX";"Miguel Contreras";"01_miguel_contreras_vox_soria.jpg"
"SORIA";"VOX";"Sara López";"02_sara_lopez_vox_soria.jpg"
"SORIA";"VOX";"Fernando Castillo";"03_fernando_castillo_vox_soria.jpg"
"VALLADOLID";"PODEMOS";"Miguel Ángel Llamas";"01_miguel_angel_llamas_podemos__Valladolid.jpg"
"VALLADOLID";"PP";"María Pardo";"01_maria_pardo_pp_valladolid.jpg"
"VALLADOLID";"PP";"José María Eiros";"02_jose_maria_eiros_pp_valladolid_.jpg"
"VALLADOLID";"PP";"Paloma Vallejo Quevedo";"03_paloma_vallejo_quevedo_pp_valladolid.jpg"
"VALLADOLID";"PP";"Borja del Barrio Casado";"04_borja_del_barrio_casado.jpg"
"VALLADOLID";"PP";"Noemí Rojo";"05_noemi_rojo_pp_valladolid.jpg"
"VALLADOLID";"PP";"Víctor Alonso Monge";"06_victor_alonso_monge_pp_valladolid.jpg"
"VALLADOLID";"PP";"María Antonia López Sáenz Santamaría";"07_maria_antonia_lopez_saenz_santamaria_pp_valladolid.jpg"
"VALLADOLID";"PSOE";"Patricia Gómez Urbán";"01_patricia_gomez_urban_psoe_valladolid.jpg"
"VALLADOLID";"PSOE";"Pedro González";"02_pedro_gonzalez_psoe_valladolid.jpg"
"VALLADOLID";"PSOE";"Laura Pelegrino";"03_laura_pelegrino_psoe_valladolid.jpg"
