provincia;partido;nombre;nombre_foto
SORIA;VOX;Miguel Contreras;01_miguel_contreras_vox_soria.jpg
VALLADOLID;VOX;Alberto Díaz;01_alberto_diaz_vox_valladolid.jpg
VALLADOLID;VOX;Fátima Pinacho;02_fatima_pinacho_vox_valladolid.jpg
VALLADOLID;VOX;Jesús Jiménez;03_jesus_jimenez_vox_valladolid.jpg
ZAMORA;VOX;Marisa Calvo;01_marisa_calvo_vox_zamora.jpg
LEON;UPL;Alicia Gallego González;01_alicia_gallego_gonzalez_upl_leon.jpg
LEON;UPL;Luis Mariano Santos Reyero;02_luis_mariano_santos_reyero_upl_leon.jpg
LEON;UPL;Rosa María Quintanilla González;03_rosa_maría_quintanilla_gonzalez_upl_leon.jpg
SORIA;SORIA YA;Ángel Ceña;01_angel_cena_soriaya_soria.jpg
AVILA;POR AVILA;Pedro José Pascual Muñoz;01_pedro_jose_pascual_muñoz_poravila_avila.jpg

